"USER_ID_MOVIE_ID","PREDICTED_RATING"
1_34,4.589836431887291
29_34,4.097379328509251
34_34,4.156025783131369
44_34,3.7156379726471416
47_34,4.150631653194121
48_34,3.400596055583603
52_34,2.7339295614408807
73_34,4.447500011394012
95_34,4.424710101223918
97_34,4.275651107043675
101_34,3.5437948053694193
110_34,3.9092262997939273
115_34,3.3914750740708763
117_34,4.195838652898889
118_34,4.2449591184471975
127_34,3.606193066746799
131_34,4.401241501311981
145_34,3.0098647409414623
149_34,4.2449591184471975
151_34,4.398972457977688
153_34,3.4221370451473416
167_34,2.095978606371699
178_34,3.9786968735348256
200_34,4.275651107043675
207_34,4.459413524402997
213_34,4.065197975004626
225_34,4.359935705255264
244_34,3.8340356971669998
246_34,3.7215128270923645
251_34,4.414686174767745
252_34,4.184700689343602
271_34,3.630042569285463
287_34,4.245846628856591
292_34,4.264170298664733
310_34,4.043862909755594
335_34,4.039475147203129
342_34,4.12297449118151
344_34,4.065197975004626
356_34,3.8568943868061685
357_34,4.041447712401924
368_34,4.228492565532344
376_34,3.9545695039925386
383_34,3.306965838483093
390_34,4.245846628856591
397_34,4.2449591184471975
400_34,3.7168139032194376
405_34,4.369651191319702
407_34,4.427818756822363
411_34,3.9944349266350754
428_34,4.245846628856591
438_34,4.245846628856591
439_34,4.260675645184977
446_34,4.152270895339069
447_34,4.1345326274361005
448_34,4.18931963210866
453_34,3.1833204059110924
474_34,4.041299905867697
489_34,4.184093771797861
502_34,4.265696102336415
505_34,3.8191644913949445
508_34,4.032460802064121
510_34,3.7250653296589356
512_34,4.022024739096088
520_34,3.9587087069556395
529_34,3.935468806860839
573_34,3.516596452047904
584_34,3.6183849615564094
591_34,3.5694666921017353
617_34,4.032460802064121
629_34,4.260555320816328
633_34,4.103488389683261
645_34,3.67943367417977
648_34,4.0511189577656985
655_34,3.408833445768319
665_34,3.639375854325104
669_34,4.367232684413881
670_34,3.975067132202314
675_34,3.6150491847404775
678_34,3.5272840771496727
680_34,4.245846628856591
696_34,4.3085569244323665
704_34,4.176535422407703
773_34,3.7526845179248154
778_34,3.803878730176448
792_34,4.308218532365526
796_34,3.703392044070774
